,ISO3,Country,Region,Sub-Region,Latitude,Longitude,Population,Internet Users,Internet % Of Population,Median Age,Gdp Purchasing Power Parity,Education Expenditures
163,POL,Poland,Europe,Eastern Europe,52.0,20.0,38420687.0,28237820.0,73.3,41.1,1126000000000.0,4.8
164,PRT,Portugal,Europe,Southern Europe,39.5,-8.0,10355493.0,7629560.0,70.4,43.7,314100000000.0,4.9
165,PRI,Puerto Rico,Americas,Caribbean,18.25,-66.5,3294626.0,2873895.0,80.3,42.2,130000000000.0,6.1
166,QAT,Qatar,Asia,Western Asia,25.5,51.25,2363569.0,2129360.0,94.3,33.4,339500000000.0,2.9
167,ROU,Romania,Europe,Eastern Europe,46.0,25.0,21457116.0,12852696.0,59.5,41.6,483400000000.0,3.1
168,RUS,Russia,Europe,Eastern Europe,60.0,100.0,142122776.0,108772470.0,76.4,39.8,4016000000000.0,3.8
169,RWA,Rwanda,Africa,Eastern Africa,-2.0,30.0,12187400.0,3724678.0,29.8,19.2,24680000000.0,3.2
170,SHN,"Saint Helena, Ascension, And Tristan Da Cunha",Africa,Western Africa,-15.95,-5.7,7841.0,1800.0,23.1,42.4,31100000.0,0.0
171,KNA,Saint Kitts And Nevis,Americas,Caribbean,17.33333333,-62.75,53094.0,39000.0,75.7,35.5,1550000000.0,2.8
172,LCA,Saint Lucia,Americas,Caribbean,13.88333333,-60.96666666,165510.0,86000.0,52.4,35.5,2542000000.0,5.7
173,MAF,Saint Martin,Americas,Caribbean,18.08333333,-63.95,32284.0,1100.0,3.5,32.8,561500000.0,0.0
174,SPM,Saint Pierre And Miquelon,Americas,Northern America,46.83333333,-56.33333333,5471.0,4500.0,79.5,47.2,261300000.0,0.0
175,VCT,Saint Vincent And The Grenadines,Americas,Caribbean,13.25,-61.2,101844.0,53000.0,51.8,34.2,1265000000.0,5.8
176,WSM,Samoa,Oceania,Polynesia,-13.58333333,-172.33333333,201316.0,58508.0,29.4,24.8,1137000000.0,4.1
177,SMR,San Marino,Europe,Southern Europe,43.76666666,12.41666666,33779.0,17200.0,52.6,44.7,2064000000.0,2.4
178,STP,Sao Tome And Principe,Africa,Middle Africa,1.0,7.0,204454.0,50000.0,25.8,18.7,686000000.0,4.9
179,SAU,Saudi Arabia,Asia,Western Asia,25.0,45.0,33091113.0,20768456.0,73.8,29.9,1775000000000.0,0.0
180,SEN,Senegal,Africa,Western Africa,14.0,-14.0,15020945.0,3675209.0,25.7,19.0,54800000000.0,6.2
181,SRB,Serbia,Europe,Southern Europe,44.0,21.0,7078110.0,4790488.0,67.1,42.8,105700000000.0,3.9
182,SYC,Seychelles,Africa,Eastern Africa,-4.58333333,55.66666666,94633.0,52664.0,56.5,35.8,2750000000.0,4.4
183,SLE,Sierra Leone,Africa,Western Africa,8.5,-11.5,6312212.0,708615.0,11.8,19.1,11550000000.0,4.6
184,SGP,Singapore,Asia,South-Eastern Asia,1.36666666,103.8,5995991.0,4683200.0,81.0,34.9,528100000000.0,2.9
185,SVK,Slovakia,Europe,Eastern Europe,48.66666666,19.5,5445040.0,4382558.0,80.5,41.0,179700000000.0,4.6
186,SVN,Slovenia,Europe,Southern Europe,46.11666666,14.81666666,2102126.0,1493382.0,75.5,44.2,71230000000.0,4.9
187,SLB,Solomon Islands,Oceania,Melanesia,-8.0,159.0,660121.0,69859.0,11.0,22.8,1330000000.0,9.9
188,SOM,Somalia,Africa,Eastern Africa,10.0,49.0,11259029.0,203366.0,1.9,18.2,20440000000.0,0.0
189,ZAF,South Africa,Africa,Southern Africa,-29.0,24.0,55380210.0,29322380.0,54.0,27.4,767200000000.0,6.1
190,KOR,"Korea, South",Asia,Eastern Asia,37.0,127.5,51418097.0,44153000.0,89.9,42.3,2035000000000.0002,5.3
191,ESP,Spain,Europe,Southern Europe,40.0,-4.0,49331076.0,39123384.0,80.6,43.1,1778000000000.0,4.3
192,LKA,Sri Lanka,Asia,Southern Asia,7.0,81.0,22576592.0,7126540.0,32.1,33.1,275800000000.0,2.8
193,SDN,Sudan,Africa,Northern Africa,15.0,30.0,43120843.0,10284260.0,28.0,17.9,177400000000.0,2.2
194,SUR,Suriname,Americas,South America,4.0,-56.0,597927.0,265964.0,45.4,30.2,8688000000.0,0.0
195,SWZ,Eswatini,Africa,Southern Africa,-26.5,31.5,1087200.0,414724.0,28.6,23.2,11600000000.0,7.1
196,SWE,Sweden,Europe,Northern Europe,62.0,15.0,10040995.0,9041427.0,91.5,41.1,518000000000.0,7.6
197,CHE,Switzerland,Europe,Western Europe,47.0,8.0,8292809.0,7312744.0,89.4,42.5,523100000000.0,5.1
198,SYR,Syria,Asia,Western Asia,35.0,38.0,19454263.0,5476850.0,31.9,24.5,50280000000.0,5.1
199,TWN,Taiwan,Asia,Eastern Asia,23.5,121.0,23545963.0,20601000.0,88.0,41.3,1189000000000.0,0.0
200,TJK,Tajikistan,Asia,Central Asia,39.0,71.0,8604882.0,1705345.0,20.5,24.8,28430000000.0,5.2
201,TZA,Tanzania,Africa,Eastern Africa,-6.0,35.0,55451343.0,6822754.0,13.0,17.9,162500000000.0,3.5
202,THA,Thailand,Asia,South-Eastern Asia,15.0,100.0,68615858.0,32398778.0,47.5,38.1,1236000000000.0,4.1
203,TLS,Timor-Leste,Asia,South-Eastern Asia,-8.83333333,125.91666666,1321929.0,318373.0,25.2,19.1,7426000000.0,2.7
204,TGO,Togo,Africa,Western Africa,8.0,1.16666666,8176449.0,877310.0,11.3,19.9,12970000000.0,5.1
205,TKL,Tokelau,Oceania,Polynesia,-9.0,-172.0,1285.0,805.0,60.2,0.0,1500000.0,0.0
206,TON,Tonga,Oceania,Polynesia,-20.0,-175.0,106398.0,42552.0,40.0,23.3,591000000.0,0.0
207,TTO,Trinidad And Tobago,Americas,Caribbean,11.0,-61.0,1215527.0,846000.0,69.2,36.6,42850000000.0,0.0
208,TUN,Tunisia,Africa,Northern Africa,34.0,9.0,11516189.0,5665242.0,50.9,32.0,137700000000.0,6.6
209,TUR,Turkey,Asia,Western Asia,39.0,35.0,81257239.0,46838412.0,58.3,31.4,2186000000000.0,4.3
210,TKM,Turkmenistan,Asia,Central Asia,40.0,60.0,5411012.0,951925.0,18.0,28.3,103700000000.0,3.0
211,TUV,Tuvalu,Oceania,Polynesia,-8.0,178.0,11147.0,5042.0,46.0,26.0,42000000.0,0.0
212,UGA,Uganda,Africa,Eastern Africa,1.0,32.0,40853749.0,18148923.0,45.9,15.9,89190000000.0,2.6
