"LOCATION","Country","VAR","Variable ","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2010-Q2","Q2-2010","100HAB","Per 100 inhabitants","0","Units",,,30.148,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2010-Q4","Q4-2010","100HAB","Per 100 inhabitants","0","Units",,,30.958,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2011","2011","100HAB","Per 100 inhabitants","0","Units",,,32.234,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2011-Q2","Q2-2011","100HAB","Per 100 inhabitants","0","Units",,,31.657,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2011-Q4","Q4-2011","100HAB","Per 100 inhabitants","0","Units",,,32.234,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2012","2012","100HAB","Per 100 inhabitants","0","Units",,,33.358,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2012-Q2","Q2-2012","100HAB","Per 100 inhabitants","0","Units",,,32.742,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2012-Q4","Q4-2012","100HAB","Per 100 inhabitants","0","Units",,,33.358,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2013","2013","100HAB","Per 100 inhabitants","0","Units",,,34.417,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2013-Q2","Q2-2013","100HAB","Per 100 inhabitants","0","Units",,,34.051,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2013-Q4","Q4-2013","100HAB","Per 100 inhabitants","0","Units",,,34.417,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2014","2014","100HAB","Per 100 inhabitants","0","Units",,,35.878,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2014-Q2","Q2-2014","100HAB","Per 100 inhabitants","0","Units",,,34.651,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2014-Q4","Q4-2014","100HAB","Per 100 inhabitants","0","Units",,,35.878,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2015","2015","100HAB","Per 100 inhabitants","0","Units",,,36.671,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2015-Q2","Q2-2015","100HAB","Per 100 inhabitants","0","Units",,,36.369,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2015-Q4","Q4-2015","100HAB","Per 100 inhabitants","0","Units",,,36.671,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2016","2016","100HAB","Per 100 inhabitants","0","Units",,,37.807,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2016-Q2","Q2-2016","100HAB","Per 100 inhabitants","0","Units",,,37.362,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2016-Q4","Q4-2016","100HAB","Per 100 inhabitants","0","Units",,,37.807,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2017","2017","100HAB","Per 100 inhabitants","0","Units",,,38.585,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2017-Q2","Q2-2017","100HAB","Per 100 inhabitants","0","Units",,,38.246,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2017-Q4","Q4-2017","100HAB","Per 100 inhabitants","0","Units",,,38.585,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2018","2018","100HAB","Per 100 inhabitants","0","Units",,,39.482,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2018-Q2","Q2-2018","100HAB","Per 100 inhabitants","0","Units",,,38.87,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2018-Q4","Q4-2018","100HAB","Per 100 inhabitants","0","Units",,,39.482,,
"CAN","Canada","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2009","2009","100HAB","Per 100 inhabitants","0","Units",,,30.599,,
